Item Code,Item
2501,Population
2511,Wheat and products
2805,Rice (Milled Equivalent)
2513,Barley and products
2514,Maize and products
2517,Millet and products
2531,Potatoes and products
2536,Sugar cane
2537,Sugar beet
2542,Sugar (Raw Equivalent)
2745,Honey
2549,"Pulses, Other and products"
2551,Nuts and products
2557,Sunflower seed
2559,Cottonseed
2561,Sesame seed
2563,Olives (including preserved)
2570,"Oilcrops, Other"
2573,Sunflowerseed Oil
2575,Cottonseed Oil
2579,Sesameseed Oil
2580,Olive Oil
2586,"Oilcrops Oil, Other"
2605,"Vegetables, Other"
2611,"Oranges, Mandarines"
2614,"Citrus, Other"
2617,Apples and products
2620,Grapes and products (excl wine)
2625,"Fruits, Other"
2645,"Spices, Other"
2731,Bovine Meat
2732,Mutton & Goat Meat
2734,Poultry Meat
2735,"Meat, Other"
2736,"Offals, Edible"
2740,"Butter, Ghee"
2737,"Fats, Animals, Raw"
2744,Eggs
2848,Milk - Excluding Butter
2761,Freshwater Fish
2515,Rye and products
2516,Oats
2518,Sorghum and products
2546,Beans
2555,Soyabeans
2571,Soyabean Oil
2572,Groundnut Oil
2601,Tomatoes and products
2602,Onions
2612,"Lemons, Limes and products"
2619,Dates
2655,Wine
2656,Beer
2658,"Beverages, Alcoholic"
2733,Pigmeat
2762,Demersal Fish
2763,Pelagic Fish
2764,"Marine Fish, Other"
2765,Crustaceans
2766,Cephalopods
2767,"Molluscs, Other"
2769,"Aquatic Animals, Others"
2775,Aquatic Plants
2520,"Cereals, Other"
2547,Peas
2556,Groundnuts (Shelled Eq)
2558,Rape and Mustardseed
2574,Rape and Mustard Oil
2613,Grapefruit and products
2615,Bananas
2641,Pimento
2532,Cassava and products
2533,Sweet potatoes
2562,Palm kernels
2576,Palmkernel Oil
2577,Palm Oil
2618,Pineapples and products
2630,Coffee and products
2633,Cocoa Beans and products
2657,"Beverages, Fermented"
2781,"Fish, Body Oil"
2535,Yams
2534,"Roots, Other"
2543,"Sweeteners, Other"
2582,Maize Germ Oil
2635,Tea (including mate)
2659,"Alcohol, Non-Food"
2743,Cream
2782,"Fish, Liver Oil"
2578,Coconut Oil
2560,Coconuts - Incl Copra
2616,Plantains
2541,Sugar non-centrifugal
2581,Ricebran Oil
2640,Pepper
2768,"Meat, Aquatic Mammals"
2642,Cloves
2680,Infant food
